Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-04-04,186.6148525106496,192.67020170716034,182.2109621859145,191.56922912597656,65000,0.0,0
2000-04-05,189.91783770392922,189.91783770392922,184.41297284294578,187.1654052734375,33000,0.0,0
2000-04-06,186.61491602117366,186.61491602117366,180.55956476384944,181.66053771972656,25000,0.0,0
2000-04-07,187.16539616371267,187.16539616371267,184.4129638671875,184.4129638671875,55000,0.0,0
2000-04-10,187.1654052734375,187.71589175953585,186.0644323012408,187.1654052734375,45000,0.0,0
2000-04-11,187.16539616371267,187.16539616371267,184.4129638671875,184.4129638671875,14000,0.0,0
2000-04-12,184.4129701094194,184.4129701094194,180.55956476384944,181.66053771972656,24000,0.0,0
2000-04-13,182.21099947415865,182.21099947415865,178.9080810546875,178.9080810546875,11000,0.0,0
2000-04-14,179.4585918079723,181.66053771972656,178.90810533003375,181.66053771972656,27000,0.0,0
2000-04-17,175.0546992752713,175.6051857509797,165.1459427125201,171.2012939453125,95000,0.0,0
2000-04-18,172.30225828063763,176.1556634179043,166.79739379882812,166.79739379882812,17000,0.0,0
2000-04-19,176.1556854248047,178.90811800956726,173.40325284004211,176.1556854248047,9000,0.0,0
2000-04-20,170.6508026123047,170.6508026123047,167.89837031210624,170.6508026123047,26000,0.0,0
2000-04-21,170.6507850060096,178.9080810546875,170.6507850060096,178.9080810546875,10000,0.0,0
2000-04-24,186.0644295432351,186.0644295432351,176.1556729403409,181.66053771972656,24000,0.0,0
2000-04-25,181.66051556987148,189.91781173213835,181.66051556987148,187.7158660888672,87000,0.0,0
2000-04-26,187.16540249911222,187.16540249911222,180.00907828591087,181.66053771972656,29000,0.0,0
2000-04-27,178.90805626517215,178.90805626517215,173.40319299547454,174.50416564941406,17000,0.0,0
2000-04-28,173.95367932244432,174.50416564941406,173.95367932244432,174.50416564941406,5000,0.0,0
2000-05-01,174.50420592496388,175.6051788330078,174.50420592496388,175.6051788330078,8000,0.0,0
2000-05-02,175.6051788330078,175.6051788330078,173.40323301691993,175.6051788330078,15000,0.0,0
2000-05-03,175.6051788330078,175.6051788330078,175.6051788330078,175.6051788330078,0,0.0,0
2000-05-04,175.6051788330078,175.6051788330078,175.6051788330078,175.6051788330078,0,0.0,0
2000-05-05,175.6051788330078,175.6051788330078,175.6051788330078,175.6051788330078,0,0.0,0
2000-05-08,175.60516405709183,175.60516405709183,173.95370483398438,173.95370483398438,10000,0.0,0
2000-05-09,173.95370483398438,173.95370483398438,173.95370483398438,173.95370483398438,0,0.0,0
2000-05-10,183.3119659423828,183.3119659423828,178.90807486869195,183.3119659423828,117000,0.0,0
2000-05-11,183.31199987074908,189.36735121783087,183.31199987074908,187.1654052734375,123000,0.0,0
2000-05-12,192.67024472762978,202.57900017076503,192.67024472762978,201.47802734375,157000,0.0,0
2000-05-15,202.02849922180175,202.02849922180175,188.81682624816892,198.1750946044922,94000,0.0,0
2000-05-16,190.4682565447928,193.77117428834413,190.4682565447928,191.56922912597656,17000,0.0,0
2000-05-17,187.16539681675923,187.16539681675923,181.6605322045016,182.76150512695312,60000,0.0,0
2000-05-18,181.6605740058713,182.21106059376785,178.9081410663884,180.55960083007812,83000,0.0,0
2000-05-19,181.66048170936793,182.76145432578832,181.66048170936793,182.21096801757812,11000,0.0,0
2000-05-22,180.55954471112747,181.1100311279297,179.45857187752304,181.1100311279297,31000,0.0,0
2000-05-23,181.66053350717743,181.66053350717743,178.9081011813111,179.45858764648438,29000,0.0,0
2000-05-24,177.80710824819712,179.4585674579327,177.80710824819712,178.9080810546875,21000,0.0,0
2000-05-25,183.31199715354228,183.31199715354228,181.66053771972656,181.66053771972656,7000,0.0,0
2000-05-26,181.66053771972656,181.66053771972656,181.66053771972656,181.66053771972656,4000,0.0,0
2000-05-29,181.66051307091348,181.66051307091348,178.9080810546875,178.9080810546875,11000,0.0,0
2000-05-30,178.9080810546875,178.9080810546875,178.9080810546875,178.9080810546875,0,0.0,0
2000-05-31,178.9080810546875,179.4585674579327,178.9080810546875,178.9080810546875,7000,0.0,0
2000-06-01,178.9080810546875,178.9080810546875,178.9080810546875,178.9080810546875,6000,0.0,0
2000-06-02,178.9080810546875,181.66051307091348,178.9080810546875,178.9080810546875,18000,0.0,0
2000-06-05,179.45864990990228,180.55962322223297,177.80718994140625,177.80718994140625,19000,0.0,0
2000-06-06,178.9080810546875,178.9080810546875,178.9080810546875,178.9080810546875,15000,0.0,0
2000-06-07,178.90806052298356,180.009033203125,178.90806052298356,180.009033203125,17000,0.0,0
2000-06-08,180.0090538611779,180.55954026442308,178.9080810546875,178.9080810546875,25000,0.0,0
2000-06-09,177.80708361123263,177.80708361123263,173.95367932244432,174.50416564941406,41000,0.0,0
2000-06-12,176.1556854248047,177.80714497566223,175.05471239089965,176.1556854248047,24000,0.0,0
2000-06-13,178.90811800956726,181.66055059432983,176.1556854248047,176.1556854248047,90000,0.0,0
2000-06-14,184.4129701094194,186.0644295432351,181.66053771972656,181.66053771972656,13000,0.0,0
2000-06-15,181.66048170936793,184.96339955862916,179.4585364765271,182.21096801757812,8000,0.0,0
2000-06-16,184.4129382996332,185.51391106560118,184.4129382996332,184.9634246826172,11000,0.0,0
2000-06-19,176.70613544170675,178.9080810546875,176.70613544170675,178.9080810546875,10000,0.0,0
2000-06-20,180.55954471112747,181.1100311279297,179.45857187752304,181.1100311279297,6000,0.0,0
2000-06-21,181.11004511135727,184.4129638671875,181.11004511135727,184.4129638671875,12000,0.0,0
2000-06-22,181.66053350717743,181.66053350717743,179.45858764648438,179.45858764648438,18000,0.0,0
2000-06-23,184.4129638671875,184.4129638671875,184.4129638671875,184.4129638671875,8000,0.0,0
2000-06-26,180.55953888122193,183.86245727539062,180.55953888122193,183.86245727539062,6000,0.0,0
2000-06-27,180.0090538611779,180.0090538611779,177.80710824819712,178.9080810546875,29000,0.0,0
2000-06-28,180.0090524821938,183.86245727539062,180.0090524821938,183.86245727539062,9000,0.0,0
2000-06-29,184.41297284294578,187.1654052734375,184.41297284294578,187.1654052734375,37000,0.0,0
2000-06-30,189.3673126220703,198.1750946044922,189.3673126220703,198.1750946044922,124000,0.0,0
2000-07-03,200.9275823878491,209.73536682128906,198.7256362794891,209.73536682128906,132000,0.0,0
2000-07-04,210.2858367501873,210.2858367501873,189.91783685553565,200.9275665283203,40000,0.0,0
