Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2008-09-05,245.87290713182136,254.0192986331769,243.65116399508804,248.0946502685547,2570000,0.0,0.0
2008-09-08,248.83511539381377,259.20324520188933,248.83511539381377,254.01918029785156,3674000,0.0,0.0
2008-09-09,253.27861723613427,257.71468870929345,250.21630859375003,250.21630859375,151000,0.0,0.0
2008-09-10,236.52894592285156,236.52894592285156,236.52894592285156,236.52894592285156,23000,0.0,0.0
2008-09-11,222.1742222162521,227.35828740129799,214.9165399974801,215.36087036132812,5188000,0.0,0.0
2008-09-12,219.31564905948764,219.31564905948764,219.31564905948764,219.31610107421875,120000,0.0,0.0
2008-09-16,200.77147261195398,212.47264098165877,199.9568291581997,210.69525146484375,2882000,0.0,0.0
2008-09-17,208.4734954833984,208.4734954833984,208.4734954833984,208.47349548339844,62000,0.0,0.0
2008-09-18,210.39904930511636,213.9538287722763,205.21498273174507,212.69485473632812,1643000,0.0,0.0
2008-09-19,228.45510864257812,228.45510864257812,228.45510864257812,228.45510864257812,6000,0.0,0.0
2008-09-22,240.68880576970747,245.87287235551653,237.72648200638798,242.1699676513672,2980000,0.0,0.0
2008-09-24,251.5960693359375,251.5960693359375,251.5960693359375,251.5960693359375,3000,0.0,0.0
2008-09-25,244.3059084831028,249.55174087384427,240.5588853468589,245.05531311035156,1826000,4.0,0.0
2008-09-26,245.05525497436523,247.3034683227539,223.6222831457248,224.8213348388672,3844000,0.0,0.0
2008-09-29,228.5683528950875,229.3177573308091,211.93156527406464,213.4303741455078,2544000,0.0,0.0
2008-09-30,198.5921832469546,217.25234985351562,198.21748101441315,217.25234985351562,1743000,0.0,0.0
2008-10-01,221.82367317753594,224.37164322787163,214.85422232367588,218.9010009765625,1186000,0.0,0.0
2008-10-02,206.83560180664062,206.83560180664062,206.83560180664062,206.83560180664062,10000,0.0,0.0
2008-10-03,199.26664200202558,202.48909491273707,176.4847509163387,190.27378845214844,3461000,0.0,0.0
2008-10-06,182.03028624525052,182.03028624525052,170.1897083411965,172.36297607421875,1833000,0.0,0.0
2008-10-07,157.37491276039205,202.33917354907547,151.82932517045555,201.8895263671875,5085000,0.0,0.0
2008-10-08,171.91332561977646,182.77968694414335,171.91332561977646,176.25987243652344,3184000,0.0,0.0
2008-10-09,188.14023909833566,188.8499298095703,188.14023909833566,188.8499298095703,81000,0.0,0.0
2008-10-10,166.367795308431,194.7702206542017,164.86898634168836,188.8499298095703,2318000,0.0,0.0
2008-10-14,188.8499298095703,188.8499298095703,188.8499298095703,188.8499298095703,0,0.0,0.0
2008-10-15,218.8260498046875,218.8260498046875,215.30384053996676,218.8260498046875,1586000,0.0,0.0
2008-10-16,215.07912459663723,224.6714945247186,210.65764194025616,215.45382690429688,1828000,0.0,0.0
2008-10-17,202.33920191101845,207.36022088422135,188.40027453870206,189.44944763183594,1789000,0.0,0.0
2008-10-20,198.30288714467525,198.30288714467525,198.30288714467525,198.30311584472656,61000,0.0,0.0
2008-10-21,208.33442914899797,210.5826424131958,202.4141387939453,202.4141387939453,1774000,0.0,0.0
2008-10-22,202.3392263170105,206.61084135392986,199.41655317754493,203.4633331298828,1699000,0.0,0.0
2008-10-23,194.84518432617188,199.04185440873798,188.70006926134766,194.84518432617188,1169000,0.0,0.0
2008-10-24,191.8475281762295,192.52198756847255,180.60646207215356,182.85467529296875,1667000,0.0,0.0
2008-10-27,182.8546521198715,191.84750386347173,175.36060900020465,183.4541778564453,2054000,0.0,0.0
2008-10-28,175.36061845259232,208.25946494726125,173.48710757168857,206.08619689941406,1946000,0.0,0.0
2008-10-29,212.0814530518932,221.82371061258084,194.84515121375344,202.71389770507812,1908000,0.0,0.0
2008-10-30,204.05682402127653,204.05682402127653,204.05682402127653,204.05718994140625,50000,0.0,0.0
2008-10-31,205.41178205807415,233.06480407714844,203.08862348844767,233.06480407714844,3698000,0.0,0.0
2008-11-04,241.09164428710938,241.09164428710938,241.09164428710938,241.09164428710938,46000,0.0,0.0
2008-11-05,277.22418212890625,277.22418212890625,277.22418212890625,277.22418212890625,1000,0.0,0.0
2008-11-06,266.0385888891539,292.2677455401972,263.7903754619216,291.5183410644531,3200000,0.0,0.0
2008-11-07,273.5326825410211,288.5207747350496,263.04101800520107,269.0362548828125,3807000,0.0,0.0
2008-11-10,272.7832400673314,287.02192567524156,272.0338355616519,284.7737121582031,2204000,0.0,0.0
2008-11-11,288.52072813267125,305.7570313717659,281.77608773476464,300.5111999511719,2851000,0.0,0.0
2008-11-12,295.2654241388494,300.5112565474077,287.7713778409091,288.5207824707031,2270000,0.0,0.0
2008-11-13,286.0372009277344,286.0372009277344,286.0372009277344,286.0372009277344,2000,0.0,0.0
2008-11-14,288.52066937614893,295.2653084005264,267.53734796697444,280.2772216796875,3263000,0.0,0.0
2008-11-17,275.03147787576194,282.5255235944475,267.5374321570763,272.78326416015625,2148000,0.0,0.0
2008-11-18,273.5326372852642,273.5326372852642,256.29633411386396,271.284423828125,3709000,0.0,0.0
2008-11-19,276.5302447198863,307.2558274665403,271.284413519238,279.5278625488281,3677000,0.0,0.0
2008-11-20,269.7855609751003,287.771265040107,266.7879436309325,280.2772216796875,1753000,0.0,0.0
2008-11-21,269.03624816262044,292.2677904830696,262.29160684378036,289.2701721191406,2948000,0.0,0.0
2008-11-25,309.50398999424607,325.99088534502914,305.75696832361353,319.2462463378906,5047000,0.0,0.0
2008-11-26,328.98851609971786,341.72839029947914,327.4897073703342,337.2319641113281,3960000,0.0,0.0
2008-11-27,334.23432687612683,336.482539837177,308.7545799842248,311.752197265625,3844000,0.0,0.0
2008-11-28,311.7522184206674,322.99328398872035,311.0028140494639,319.99566650390625,1280000,0.0,0.0
2008-12-01,317.74747896994904,331.98616316907413,305.75700806542267,312.50164794921875,1719000,0.0,0.0
2008-12-02,302.0100473920037,320.74516199448533,301.26064280790445,318.4969482421875,1876000,0.0,0.0
2008-12-03,311.00294291679495,314.0005616437038,302.7594914177956,304.25830078125,2101000,0.0,0.0
2008-12-04,296.76417583782666,306.5064341355331,291.518344446754,297.5135803222656,2103000,0.0,0.0
2008-12-05,309.50400530705684,325.99090147353445,305.0075790798357,319.99566650390625,3282000,0.0,0.0
2008-12-08,322.2439013394443,331.2367544000799,314.7498571222479,329.7379455566406,2046000,0.0,0.0
2008-12-09,333.48498885468405,342.4778424867204,328.23915756932945,339.480224609375,3045000,0.0,0.0
2008-12-10,339.4801713506466,352.2200453306929,334.2343408882746,349.9718322753906,2678000,0.0,0.0
2008-12-11,345.475438412753,349.2224605213512,329.7379455566406,329.7379455566406,1588000,0.0,0.0
2008-12-12,333.484939025329,349.2224305298951,328.9885128811673,332.73553466796875,1654000,0.0,0.0
2008-12-15,340.229736328125,349.2225927949477,337.23211750585074,340.229736328125,1005000,0.0,0.0
2008-12-16,334.23441963970794,337.2320377530686,325.9909698279663,331.9862060546875,1228000,0.0,0.0
2008-12-17,337.2319247744499,339.4801376062796,318.496817842536,326.7402648925781,1428000,0.0,0.0
2008-12-18,329.7379837579795,337.23202884338815,315.4992980957031,315.4992980957031,1966000,0.0,0.0
2008-12-19,319.99568025121147,327.4897242851977,313.2510406206239,317.7474670410156,1171000,0.0,0.0
2008-12-22,306.5063781738281,311.752208607121,303.50876078337507,306.5063781738281,1236000,0.0,0.0
2008-12-24,304.2582708620558,312.50172155043657,301.2606524299173,305.757080078125,732000,0.0,0.0
2008-12-25,299.76173111155066,301.2605397671084,288.5206661948675,296.01470947265625,1299000,0.0,0.0
2008-12-26,292.2677334872159,297.513564601089,288.5207112630208,296.76416015625,1038000,0.0,0.0
2008-12-29,302.7594150872878,306.5064375512394,299.76179711612656,303.5088195800781,926000,0.0,0.0
2008-12-30,302.00999127012307,303.5088001598011,296.76416015625,296.76416015625,320000,0.0,0.0
2009-01-05,304.25822239445336,308.0052448377348,299.7617954625156,300.5111999511719,1759000,0.0,0.0
2009-01-06,306.5064263630551,337.9814139113395,305.7570218976197,336.48260498046875,3306000,0.0,0.0
2009-01-07,336.48256379240877,349.9718425190532,320.7450719446569,321.4944763183594,2698000,0.0,0.0
2009-01-08,336.4825681778059,338.7307813282144,319.24626735800734,327.4897155761719,1977000,0.0,0.0
2009-01-09,331.2366905562375,331.986094833514,319.99562639708915,326.7402648925781,996000,0.0,0.0
2009-01-13,325.99088758747865,325.99088758747865,299.0123313733425,302.00994873046875,2658000,0.0,0.0
2009-01-14,299.7617937755825,302.0100072288994,296.01477135338774,297.5135803222656,1349000,0.0,0.0
2009-01-15,289.2700963377644,296.0147358896812,284.77366996981993,290.0195007324219,2283000,0.0,0.0
2009-01-16,293.01711408066564,293.76651846450363,282.5254527069333,284.0242614746094,1338000,0.0,0.0
2009-01-19,285.523049679318,290.7688799883868,277.27960205078125,277.27960205078125,2568000,0.0,0.0
2009-01-20,277.27970798918597,281.7761356863079,262.29161566544616,275.031494140625,2793000,0.0,0.0
2009-01-21,264.5397850828744,286.2725153021474,261.5421671215954,274.28204345703125,2350000,0.0,0.0
2009-01-22,275.78081325239117,284.0242614746094,272.78319571703906,284.0242614746094,1679000,0.0,0.0
2009-01-23,285.52309820671184,288.5207160356537,279.5278625488281,279.5278625488281,1660000,0.0,0.0
2009-01-26,282.52548037777,282.52548037777,275.03143580541536,279.5278625488281,1307000,0.0,0.0
2009-01-27,277.2796560253153,293.76655449168544,277.2796560253153,291.5183410644531,4536000,0.0,0.0
2009-01-28,299.01232678377175,299.01232678377175,284.77364455597314,296.01470947265625,2692000,0.0,0.0
2009-01-29,307.25579219344627,328.98851895834855,303.50877033742864,319.99566650390625,4709000,0.0,0.0
2009-01-30,313.2511128988611,317.7475403567395,311.0028991699219,311.0028991699219,1361000,0.0,0.0
